proxy	time	saved	missed	error
185.133.225.210:21231	2018-08-24 15:20:06.915838	1	0	1
140.227.53.72:3129	2018-08-24 15:20:13.068537	1	0	0
201.16.148.169:8080	2018-08-24 15:20:17.782477	1	0	0
05.197.183.222:8080	2018-08-24 15:20:25.020548	1	0	0
185.133.226.154:21231	2018-08-24 15:20:51.921600	1	0	0
103.80.240.126:8080	2018-08-24 15:21:17.727428	1	0	0
93.179.66.57:8080	2018-08-24 15:21:30.820047	1	0	0
91.241.40.210:41258	2018-08-24 15:21:48.829764	1	0	1
78.188.91.98:21231	2018-08-24 15:22:07.069869	1	0	0
94.101.140.10:21231	2018-08-24 15:22:14.351456	1	0	0
103.88.142.54:21231	2018-08-24 15:22:33.195497	1	0	0
182.55.250.98:80	2018-08-24 15:25:48.415011	1	0	1
183.90.70.134:80	2018-08-24 15:29:03.483265	1	0	1
93.91.196.30:8080	2018-08-24 15:29:15.983237	1	0	0
197.255.216.26:8080	2018-08-24 15:30:22.894977	1	0	1
92.242.255.85:21213	2018-08-24 15:30:42.147052	1	0	1
200.124.59.116:53281	2018-08-24 15:31:10.406034	1	0	0
78.108.108.192:21231	2018-08-24 15:31:15.441153	1	0	0
95.67.174.94:8080	2018-08-24 15:31:22.096361	1	0	0
105.22.72.110:8080	2018-08-24 15:32:16.833966	1	0	0
172.92.73.61:53281	2018-08-24 15:32:29.698840	1	0	0
37.247.28.21:21231	2018-08-24 15:32:37.254216	1	0	0
78.156.225.170:41258	2018-08-24 15:32:56.818945	1	0	0
83.144.67.2:21231	2018-08-24 15:33:05.952483	1	0	0
176.99.114.47:6666	2018-08-24 15:33:16.475909	1	0	0
140.227.54.68:3129	2018-08-24 15:34:14.131204	1	0	0
167.99.166.163:8080	2018-08-24 15:34:16.433807	1	0	0
185.133.225.210:21231	2018-08-24 15:34:51.709159	1	0	0
140.227.53.72:3129	2018-08-24 15:35:38.505420	1	0	0
201.16.148.169:8080	2018-08-24 15:35:43.073654	1	0	0
05.197.183.222:8080	2018-08-24 15:35:50.183627	1	0	0
185.133.226.154:21231	2018-08-24 15:35:56.116258	1	0	1
103.80.240.126:8080	2018-08-24 15:36:14.452942	1	0	0
93.179.66.57:8080	2018-08-24 15:36:36.845249	1	0	0
91.241.40.210:41258	2018-08-24 15:36:42.321718	1	0	0
78.188.91.98:21231	2018-08-24 15:36:58.700095	1	0	0
94.101.140.10:21231	2018-08-24 15:37:05.338226	1	0	0
103.88.142.54:21231	2018-08-24 15:37:14.557162	1	0	0
182.55.250.98:80	2018-08-24 15:40:40.931527	1	0	1
183.90.70.134:80	2018-08-24 15:43:57.922432	1	0	1
93.91.196.30:8080	2018-08-24 15:44:28.343464	1	0	0
197.255.216.26:8080	2018-08-24 15:45:34.989173	1	0	1
92.242.255.85:21213	2018-08-24 15:45:50.060997	1	0	0
200.124.59.116:53281	2018-08-24 15:46:56.795129	1	0	1
78.108.108.192:21231	2018-08-24 15:47:07.549257	1	0	0
95.67.174.94:8080	2018-08-24 15:47:24.563018	1	0	0
105.22.72.110:8080	2018-08-24 15:48:13.087409	1	0	0
172.92.73.61:53281	2018-08-24 15:48:22.806358	1	0	0
37.247.28.21:21231	2018-08-24 15:48:32.686687	1	0	0
78.156.225.170:41258	2018-08-24 15:48:39.029923	1	0	0
83.144.67.2:21231	2018-08-24 15:48:44.461799	1	0	0
176.99.114.47:6666	2018-08-24 15:48:54.361643	1	0	0
140.227.54.68:3129	2018-08-24 15:48:58.697750	1	0	0
167.99.166.163:8080	2018-08-24 15:49:01.484656	1	0	0
185.133.225.210:21231	2018-08-24 15:49:17.374519	1	0	0
140.227.53.72:3129	2018-08-24 15:49:21.142515	1	0	0
201.16.148.169:8080	2018-08-24 15:49:25.536655	1	0	0
05.197.183.222:8080	2018-08-24 15:49:34.425485	1	0	0
185.133.226.154:21231	2018-08-24 15:49:55.771932	1	0	0
103.80.240.126:8080	2018-08-24 15:51:02.447629	1	0	1
93.179.66.57:8080	2018-08-24 15:51:13.979095	1	0	1
91.241.40.210:41258	2018-08-24 15:51:19.507579	1	0	0
